,jurisdiction,year,includes_jails,prisoner_count,State.Min.Wage,Fed.Min.Wage,Eff.Min.Wage,CPI.Average,DOL.Low.Value,DOL.High.Value,median_income,prisoner_count_per_milion,violent_crime_per_million,murder_manslaughter_per_million,rape_legacy_per_million,rape_revised_per_million,robbery_per_million,agg_assault_per_million,property_crime_per_million,burglary_per_million,larceny_per_million,vehicle_theft_per_million,White,Black,Hispanic,Asian.Native.Hawaiian.and.Pacific.Islander,American.Indian.Alaska.Native,Multiple.Races,Total,unemployment_rate
169,Maine,2014,FALSE,2199,7.5,7.25,7.5,236.736,7.5,7.5,53595,1653.272826,1278.109961,15.78841717,270.65858,364.6372536,228.5561342,669.1281561,19864.08428,3781.701826,15481.67078,600.7116817,0.136,0.484,0.131,NA,0.607,0.321,0.146,5.6
170,Maine,2015,FALSE,2190,7.5,7.25,7.5,237.017,7.5,7.5,52516,1647.448937,1300.657174,17.30197513,266.2999651,356.5711397,233.9527942,692.8312651,18300.22387,3523.584849,14164.29956,612.3394678,0.12,0.491,0.219,NA,0.248,0.251,0.129,4.4
171,Maine,2016,FALSE,2356,7.5,7.25,7.5,240.007,7.5,7.5,51950,1771.119624,1239.633387,15.03497134,NA,310.4721582,201.468616,712.6576417,16469.30761,3007.746017,12878.2047,583.3568881,0.12,0.49,0.134,NA,0.303,0.27,0.13,3.8
172,Maryland,2008,FALSE,23141,6.15,5.85,6.15,215.303,6.15,6.15,72715,4107.677564,6282.487015,87.51069698,200.0498083,NA,2343.618118,3651.308391,35175.57255,6895.949426,23782.85135,4496.771778,0.058,0.122,0.126,0.073,NA,0.097,0.082,4.2
173,Maryland,2009,FALSE,22066,6.55,6.55,6.55,214.537,6.55,6.55,73513,3871.582626,5899.663092,77.20005236,202.8255921,NA,2106.684156,3512.953292,31984.50805,6475.154391,22067.1086,3442.245062,0.062,0.14,0.139,0.075,NA,0.137,0.092,7
174,Maryland,2010,FALSE,22856,7.25,7.25,7.25,218.056,7.25,7.25,72336,3950.44248,5462.969701,73.63005323,212.2481347,NA,1910.578893,3266.51262,29954.81431,6343.937732,20495.08087,3115.795703,0.064,0.158,0.136,0.091,NA,0.131,0.101,7.7
175,Maryland,2011,FALSE,23001,7.25,7.25,7.25,224.939,7.25,7.25,75232,3938.816064,4934.779467,68.32692533,205.4945123,NA,1771.020205,2889.937824,28571.6145,6134.524928,19684.83307,2752.256501,0.064,0.156,0.155,0.073,0.219,0.149,0.101,7.2
176,Maryland,2012,FALSE,21810,7.25,7.25,7.25,229.594,7.25,7.25,76838,3706.115413,4772.579436,63.38290001,210.2001268,NA,1728.670889,2770.32552,27580.73758,5744.054072,19295.25012,2541.433385,0.066,0.161,0.122,0.085,NA,0.125,0.101,7
177,Maryland,2013,FALSE,21705,7.25,7.25,7.25,232.957,7.25,7.25,73099,3654.817514,4754.377909,64.66021311,198.5270606,282.7200464,1691.942243,2715.055407,26591.17587,5379.931794,18952.00949,2259.234581,0.07,0.153,0.13,0.095,0.324,0.143,0.103,6.6
178,Maryland,2014,FALSE,21266,7.25,7.25,7.25,236.736,7.25,7.25,78942,3558.325261,4461.041559,61.07348445,191.4193595,270.8985516,1596.946125,2532.123398,25075.09947,4687.097114,18195.71525,2192.287105,0.069,0.139,0.135,0.101,NA,0.127,0.099,5.8
179,Maryland,2015,FALSE,20951,8.25,7.25,8.25,237.017,8.25,8.25,76146,3488.112099,4572.122308,85.90835011,197.1230359,277.3707583,1642.081506,2566.761693,23149.96951,4275.105841,16685.36616,2189.497504,0.068,0.149,0.149,0.074,NA,0.109,0.101,5.1
180,Maryland,2016,FALSE,20236,8.75,7.25,8.75,240.007,8.75,8.75,75346,3358.810454,4816.629797,88.96631762,NA,303.2489968,1795.094636,2629.319846,23190.33215,4121.663431,16763.34561,2305.323107,0.069,0.128,0.127,0.077,NA,0.12,0.094,4.5
181,Massachusetts,2008,FALSE,11174,8,5.85,8,215.303,8,8,68845,1719.614766,4637.912135,25.54645168,269.468897,NA,1089.109871,3253.786915,23995.04337,5578.821807,16453.29993,1962.921634,0.071,0.17,0.271,0.123,NA,0.201,0.099,5.5
182,Massachusetts,2009,FALSE,11156,8,6.55,8,214.537,8,8,68000,1691.947039,4626.161754,26.23761543,262.9828044,NA,1132.464014,3204.47732,23231.36102,5234.631772,16197.40515,1799.324101,0.073,0.19,0.296,0.121,0.295,0.138,0.104,8.1
183,Massachusetts,2010,FALSE,11162,8,7.25,8,218.056,8,8,68655,1702.701227,4688.758968,32.64451375,272.1393109,NA,1052.099119,3331.876025,23567.5084,5781.892546,16036.08348,1749.532375,0.077,0.222,0.308,0.131,NA,0.175,0.114,8.3
184,Massachusetts,2011,FALSE,11467,8,7.25,8,224.939,8,8,69156,1735.582684,4273.041801,27.84923815,250.3404342,NA,1024.367629,2970.4845,22525.94709,5509.759871,15384.2824,1631.904814,0.08,0.212,0.307,0.152,NA,0.194,0.117,7.3
185,Massachusetts,2012,FALSE,11127,8,7.25,8,229.594,8,8,68088,1674.415749,4070.092816,18.20834957,248.2956759,NA,986.4110034,2817.177787,21567.8653,5211.951961,14965.909,1390.004338,0.08,0.225,0.321,0.148,0.308,0.161,0.12,6.7
186,Massachusetts,2013,FALSE,10622,8,7.25,8,232.957,8,8,65906,1583.276121,4063.871225,20.56977072,256.6749651,343.276681,999.4225559,2700.602217,20461.55584,4578.413606,14523.59964,1359.5426,0.084,0.203,0.297,0.133,0.302,0.162,0.119,6.7
187,Massachusetts,2014,FALSE,10447,8,7.25,8,236.736,8,8,65454,1548.757318,3913.625388,19.56886818,241.4976233,323.182823,894.8309724,2676.042724,18570.70766,3700.888071,13645.28284,1224.536752,0.075,0.211,0.312,0.144,NA,0.178,0.116,5.7
188,Massachusetts,2015,FALSE,9493,9,7.25,9,237.017,9,9,70214,1397.175507,3909.383315,18.83898292,236.6647229,305.3975747,778.2854818,2806.861275,16906.66255,3221.760438,12497.31029,1187.591822,0.076,0.203,0.276,0.135,NA,0.164,0.113,4.8
189,Massachusetts,2016,FALSE,9038,10,7.25,10,240.007,10,10,73820,1324.497294,3806.574155,19.78392727,NA,313.7584318,786.2279246,2686.803871,15597.06207,2814.300292,11599.97602,1182.785756,0.067,0.189,0.264,0.142,0.213,0.151,0.105,3.9
190,Michigan,2008,FALSE,48738,7.15,5.85,7.15,215.303,7.15,7.15,56824,4872.132756,5149.437862,55.38104861,450.5458232,NA,1324.146877,3319.364114,29499.90513,7476.141664,18449.48659,3574.276882,0.11,0.293,0.265,0.139,0.198,0.259,0.145,8
191,Michigan,2009,FALSE,45478,7.4,6.55,7.4,214.537,7.4,7.4,52677,4561.60936,4997.629323,62.48917347,453.7737091,NA,1246.473449,3234.892992,28488.14215,7627.69131,17917.04026,2943.410587,0.117,0.34,0.303,0.166,0.239,0.252,0.16,13.7
192,Michigan,2010,FALSE,44113,7.4,7.25,7.4,218.056,7.4,7.4,52140,4466.170025,4929.866865,58.72143392,479.1871496,NA,1166.531658,3225.426624,27487.80695,7526.974146,17185.94132,2774.891484,0.127,0.331,0.291,0.136,0.198,0.25,0.165,12.6
193,Michigan,2011,FALSE,42904,7.4,7.25,7.4,224.939,7.4,7.4,53390,4343.916618,4427.648183,62.46961946,439.8185202,NA,1039.101628,2886.258415,25446.39707,7062.50941,15862.01848,2521.869176,0.128,0.361,0.26,0.136,0.247,0.297,0.17,10.4
194,Michigan,2012,FALSE,43594,7.4,7.25,7.4,229.594,7.4,7.4,53498,4411.223495,4549.64974,70.93333188,469.0099761,NA,1054.690611,2955.015821,25221.20119,6633.936145,16049.45055,2537.814499,0.13,0.371,0.304,0.157,0.192,0.29,0.175,9.1
195,Michigan,2013,FALSE,43704,7.4,7.25,7.4,232.957,7.4,7.4,59622,4415.351368,4521.734422,63.14283829,455.234607,685.4786525,1019.681067,2753.431864,23250.20335,5683.461618,15133.46931,2433.272416,0.127,0.344,0.272,0.13,0.228,0.311,0.168,8.8
196,Michigan,2014,FALSE,43359,8.15,7.25,8.15,236.736,8.15,8.15,53901,4375.331803,4273.312373,53.98654292,408.582266,633.0048294,809.3945061,2776.926495,20438.90151,4458.582079,13845.37871,2134.940726,0.122,0.322,0.245,0.158,0.227,0.278,0.16,7.2
197,Michigan,2015,FALSE,42628,8.15,7.25,8.15,237.017,8.15,8.15,56083,4296.061829,4155.271776,57.54554059,419.5483108,650.0328141,785.6830726,2662.010349,18856.0914,4035.343242,13232.04781,1588.700354,0.12,0.327,0.233,0.156,0.233,0.283,0.159,5.4
198,Michigan,2016,FALSE,41122,8.5,7.25,8.5,240.007,8.5,8.5,58319,4139.75212,4608.874363,61.61004566,NA,731.6696272,717.0724759,3098.522215,19152.36859,4000.424827,13112.16803,2039.775727,0.114,0.291,0.226,0.201,0.193,0.222,0.149,5
199,Minnesota,2008,FALSE,9031,5.25,5.85,5.85,215.303,5.25,6.15,62687,1729.946385,2653.631633,21.07121054,345.7594093,NA,800.514444,1486.286569,28640.94715,5087.35645,21600.67259,1952.918104,0.075,0.301,0.212,0.153,0.371,0.118,0.098,5.4
200,Minnesota,2009,FALSE,9500,5.25,6.55,6.55,214.537,5.25,6.15,64240,1803.952517,2444.640495,14.05184066,339.7127424,NA,687.2109641,1403.664948,26448.98213,4857.379514,19968.80491,1622.797706,0.083,0.345,0.254,0.186,0.338,0.216,0.11,7.8
201,Minnesota,2010,FALSE,9397,5.25,7.25,7.25,218.056,5.25,6.15,58951,1769.460583,2356.581802,18.07685601,338.5644491,NA,637.9623768,1361.97812,25690.0369,4597.358745,19475.74105,1616.93711,0.078,0.42,0.232,0.199,0.417,0.249,0.114,7.4
202,Minnesota,2011,FALSE,9309,5.25,7.25,7.25,224.939,5.25,6.15,63156,1740.8789,2304.52795,14.02577264,395.1527678,NA,633.0298717,1262.319537,25467.62393,4802.611561,19141.25243,1523.759939,0.083,0.379,0.264,0.156,0.438,0.227,0.116,6.5
203,Minnesota,2012,FALSE,9421,5.25,7.25,7.25,229.594,5.25,6.15,66098,1751.230471,2308.516211,18.40269787,304.4810012,NA,645.9532839,1339.679228,25680.50017,4717.410774,19390.86698,1572.22241,0.08,0.413,0.239,0.179,0.329,0.185,0.114,5.6
204,Minnesota,2013,FALSE,9391,5.25,7.25,7.25,232.957,5.25,6.15,67798,1731.998539,2344.127509,21.0252192,267.9793289,371.4455391,677.6022397,1274.054511,24196.15423,4188.998277,18537.97265,1469.183299,0.082,0.336,0.244,0.18,0.33,0.178,0.113,5
205,Minnesota,2014,FALSE,9576,6.5,7.25,7.25,236.736,6.5,8,69696,1754.754705,2291.479489,16.12556538,266.0718288,366.6733673,675.6245404,1233.056016,22974.71603,3806.549655,17634.95495,1533.211427,0.08,0.374,0.207,0.129,0.282,0.254,0.111,4.2
206,Minnesota,2015,FALSE,9578,7.25,7.25,7.25,237.017,7.25,9,71114,1744.755623,2426.226785,24.22765691,307.126538,422.7999375,686.9360466,1292.263144,22220.95113,3515.560531,17251.54902,1453.841577,0.07,0.33,0.214,0.168,0.259,0.114,0.1,3.7
207,Minnesota,2016,FALSE,9509,7.25,7.25,7.25,240.007,7.25,9.5,71728,1721.070398,2418.982634,18.28037755,NA,425.1545235,675.1070126,1300.44072,21307.13749,3363.227482,16365.64375,1578.26626,0.071,0.286,0.192,0.141,0.284,0.187,0.098,3.9
208,Mississippi,2008,FALSE,17896,0,5.85,5.85,215.303,0,0,41597,6089.937515,3042.926981,80.30985994,326.003584,NA,1047.771435,1588.842102,29091.22588,8679.590202,18284.10498,2127.530696,0.12,0.347,0.216,NA,0.299,0.228,0.209,6.6
209,Mississippi,2009,FALSE,17212,0,6.55,6.55,214.537,0,0,40175,5830.631207,2862.808757,65.71824623,335.7050619,NA,1005.76017,1455.625279,29582.35716,10013.22495,17726.65004,1842.482171,0.13,0.355,0.287,0.158,0.244,0.191,0.218,9.5
210,Mississippi,2010,FALSE,16454,0,7.25,7.25,218.056,0,0,42996,5539.933039,2693.200704,68.68520359,313.4604144,NA,934.9941685,1376.060917,29829.57989,10253.28679,17771.95974,1804.333363,0.137,0.356,0.286,NA,NA,0.308,0.223,10.4
211,Mississippi,2011,FALSE,15390,0,7.25,7.25,224.939,0,0,44882,5168.84039,2689.879316,77.91884148,289.844656,NA,838.2992601,1483.816559,30162.98808,10318.20107,18196.40049,1648.386526,0.133,0.358,0.396,NA,0.197,0.325,0.226,10
212,Mississippi,2012,FALSE,15791,0,7.25,7.25,229.594,0,0,39192,5287.548762,2601.416397,71.32213832,274.2386445,NA,762.4437041,1493.41191,28104.6058,9403.807196,17251.25149,1449.547121,0.145,0.374,0.33,0.178,0.267,0.282,0.238,9
213,Mississippi,2013,FALSE,15591,0,7.25,7.25,232.957,0,0,34085,5210.536975,2774.875794,72.52174483,242.6303537,342.2224272,806.4284344,1553.703188,27253.47118,8344.679477,17442.64934,1466.142371,0.151,0.378,0.331,0.123,0.452,0.386,0.244,8.5
214,Mississippi,2014,FALSE,13069,0,7.25,7.25,236.736,0,0,36816,4364.948286,2784.829659,86.170071,255.1702878,353.3640896,811.6018315,1533.693667,29211.65407,8133.385926,19568.95593,1509.312213,0.136,0.351,0.285,0.155,NA,0.243,0.222,7.5
215,Mississippi,2015,FALSE,13967,0,7.25,7.25,237.017,0,0,41426,4667.595485,2758.38284,86.55453788,288.0695431,402.0274481,766.6259069,1503.174947,28335.75007,8287.513455,18630.27945,1417.957159,0.132,0.345,0.298,0.141,NA,0.326,0.219,6.4
216,Mississippi,2016,FALSE,13720,0,7.25,7.25,240.007,0,0,41983,4595.675978,2817.36375,79.38594802,NA,429.4210353,814.9620739,1493.594693,27641.38319,7867.917861,18330.78483,1442.680498,0.129,0.319,0.263,0.103,0.448,0.339,0.208,5.8
217,Missouri,2008,FALSE,30137,6.65,5.85,6.65,215.303,6.65,6.65,52544,5097.938715,5024.185479,77.13641219,272.6839835,NA,1250.929316,3423.435767,36626.60141,7741.214103,25374.15812,3511.229184,0.112,0.264,0.261,0.11,0.225,0.233,0.136,6.1
218,Missouri,2009,FALSE,30519,7.05,6.55,7.05,214.537,7.05,7.05,55855,5097.050895,4929.036439,64.63379195,268.221886,NA,1242.071087,3354.109674,33700.25954,7280.236757,23509.33098,2910.691799,0.122,0.28,0.256,0.085,0.22,0.235,0.146,9.3
219,Missouri,2010,FALSE,30577,7.25,7.25,7.25,218.056,7.25,7.25,51623,5099.80878,4576.60179,70.05002739,241.0054514,NA,1031.570046,3233.976265,33500.2581,7371.431097,23437.73845,2691.088552,0.126,0.304,0.282,0.157,0.209,0.275,0.156,9.6
220,Missouri,2011,FALSE,30969,7.25,7.25,7.25,224.939,7.25,7.25,49998,5153.783069,4474.633316,60.90879922,244.4672843,NA,1044.269713,3124.987519,33131.22485,7467.984604,23111.89379,2551.346451,0.13,0.299,0.308,0.17,0.202,0.257,0.159,8.5
221,Missouri,2012,FALSE,31205,7.25,7.25,7.25,229.594,7.25,7.25,53229,5179.664046,4513.055144,64.73542631,253.4640923,NA,959.7441922,3235.111433,33166.61471,7056.161468,23399.53278,2710.920468,0.133,0.311,0.332,0.164,0.241,0.279,0.164,6.9
222,Missouri,2013,FALSE,31499,7.35,7.25,7.35,232.957,7.35,7.35,48804,5210.824235,4336.866825,61.04302177,277.7540204,381.3121007,907.5393426,2986.97236,31374.29348,6418.119554,22252.41471,2703.759208,0.137,0.298,0.253,0.191,0.325,0.237,0.163,6.7
223,Missouri,2014,FALSE,31903,7.5,7.25,7.5,236.736,7.5,7.5,58695,5261.405415,4429.060083,66.46228826,281.351523,392.3418952,922.2260941,3048.029805,29064.79974,5814.708088,20552.51436,2697.577293,0.129,0.28,0.237,0.156,0.181,0.255,0.154,6.1
224,Missouri,2015,FALSE,32295,7.65,7.25,7.65,237.017,7.65,7.65,61249,5308.471594,4974.134043,82.51595418,304.7501575,419.6478706,1048.051243,3423.918975,28542.30143,5589.716211,20158.38461,2794.200608,0.122,0.272,0.267,0.121,0.223,0.203,0.147,5
225,Missouri,2016,FALSE,32427,7.65,7.25,7.65,240.007,7.65,7.65,56199,5323.602536,5207.532995,88.32448775,NA,419.7875747,1079.594482,3619.826451,28017.74239,5206.876308,19807.17681,3003.689271,0.118,0.23,0.237,0.153,0.212,0.241,0.139,4.6
226,Montana,2008,FALSE,2910,4,5.85,5.85,215.303,4,6.25,48963,3007.938477,3114.405028,41.34623336,370.0487886,NA,210.8657901,2492.144216,27185.14843,3813.156371,21535.18564,1836.806417,0.125,NA,0.318,NA,0.337,0.278,0.147,5.1
227,Montana,2009,FALSE,3085,4,6.55,6.55,214.537,4,6.9,46313,3164.138262,2869.775967,32.82088311,366.1579772,NA,233.8487921,2236.948314,25462.85138,3780.555473,20028.94392,1653.351987,0.125,NA,0.365,0.299,0.356,NA,0.149,6.8
228,Montana,2010,FALSE,3137,4,7.25,7.25,218.056,4,7.25,46511,3165.623568,2757.937269,25.22811259,335.0293352,NA,155.4051736,2242.274647,25640.84452,3725.687668,20350.00474,1565.152105,0.129,NA,0.238,NA,0.317,0.178,0.145,7.3
229,Montana,2011,FALSE,3125,4,7.25,7.25,224.939,4,7.35,43994,3132.307674,2761.442445,29.06781521,366.8558748,NA,171.3998759,2194.118879,23940.85401,3354.826811,19133.63878,1452.388422,0.118,NA,0.216,NA,0.348,0.287,0.14,6.9
230,Montana,2012,FALSE,3095,4,7.25,7.25,229.594,4,7.65,48227,3078.088979,2787.684462,28.84154455,389.8581195,NA,200.8962759,2168.088522,25959.37917,3898.581195,20372.07582,1688.72216,0.128,NA,0.328,NA,0.333,0.189,0.15,6
